CH61 0576 1AU8 G4CJ FQ6I D,Crimson,accent,classic,bra,Crimson,51,57.09,8397,13-Feb-16,31-Dec-99,TRUE
VG29 FRCT 4607 1938 6601 2120,Violet,classic,classic,bra,Violet,24,66.84,4176,14-Mar-17,31-Dec-99,TRUE
AT25 7445 0421 6216 9290,Violet,body art,classic,bra,Violet,64,56.71,9476,30-Jan-17,31-Dec-99,TRUE
GI48 ZYGF R2XR MJQT LORD E7R,Fuscia,accent,classic,bra,Fuscia,29,6.06,5474,20-Jul-14,31-Dec-99,TRUE
FR93 3347 1233 02J7 TDI0 LCL3 444,Green,accent,classic,bra,Green,33,42.08,1120,27-Jun-14,31-Dec-99,TRUE
SE50 5061 6809 7679 6415 8936,Turquoise,body art,classic,bra,Turquoise,76,8.61,4186,31-Jul-17,31-Dec-99,TRUE
RO66 MRHI FMVW 76NY JZYL B3DM,Green,classic,classic,bra,Green,59,31.17,9668,20-Jul-17,31-Dec-99,TRUE
GE06 OI48 6281 5819 8685 58,Red,accent,classic,bra,Red,70,77.67,3724,11-May-12,31-Dec-99,TRUE
LB31 5344 JWG0 XUHV H4XC PTD4 5S2O,Orange,body art,classic,bra,Orange,48,57.84,4125,9-Sep-17,31-Dec-99,TRUE
LU09 417W LBWL QWZC GDSW,Orange,basic,classic,bra,Orange,34,63.54,6870,1-Jan-17,31-Dec-99,TRUE
BA49 0577 2319 5008 1803,Goldenrod,classic,classic,bra,Goldenrod,80,5.88,9475,10-Sep-13,31-Dec-99,TRUE
HR44 7100 0051 9633 8409 4,Indigo,basic,classic,bra,Indigo,80,9.14,9208,27-Sep-17,31-Dec-99,TRUE
KW15 AYHK 0PDD N8MP O576 2SGY WK1X VD,Teal,accent,classic,bra,Teal,66,10.66,1428,28-Nov-14,31-Dec-99,TRUE
BA40 7972 9371 8975 1411,Yellow,cotton,classic,bra,Yellow,15,42.88,4106,4-Nov-15,31-Dec-99,TRUE
FR82 9514 3867 80EN DDM6 EQJ7 120,Teal,classic,classic,bra,Teal,43,43.45,2506,7-Jul-16,31-Dec-99,TRUE
TN05 1126 8292 3588 4367 2302,Turquoise,body art,classic,bra,Turquoise,66,19.47,4746,19-May-13,31-Dec-99,TRUE
LU82 923I 634C TED7 USZI,Khaki,cotton,classic,bra,Khaki,10,64.17,5252,18-Jan-13,31-Dec-99,TRUE
SA68 1090 R5BT F1JN DKKW DYDN,Violet,cotton,classic,bra,Violet,28,63.15,9164,22-Jul-15,31-Dec-99,TRUE
NL80 KWKO 3552 1460 66,Turquoise,accent,classic,bra,Turquoise,1,66.61,1873,4-Mar-13,31-Dec-99,TRUE
FR32 1523 1404 56IT T1VA DR2L 735,Orange,body art,classic,bra,Orange,46,32.26,8960,30-Nov-12,31-Dec-99,TRUE
TR19 1906 8K2G WOLS RCYA X6HR 6U,Purple,body art,classic,bra,Purple,7,17.53,4539,27-Oct-15,31-Dec-99,TRUE
LU40 2753 GB02 J9I1 ZTA1,Crimson,classic,classic,bra,Crimson,58,30.14,2114,30-Jan-15,31-Dec-99,TRUE
SA13 31KD YDEX T4OX NHYF ZEFH,Teal,classic,classic,bra,Teal,49,96.89,7868,15-Mar-16,31-Dec-99,TRUE
FR51 4310 5129 50DN 0K9E P3WE A91,Mauv,body art,classic,bra,Mauv,37,39.4,7006,16-Feb-14,31-Dec-99,TRUE
HU17 8914 6605 0323 1516 7320 7382,Blue,accent,classic,bra,Blue,77,54.57,2269,12-Sep-12,31-Dec-99,TRUE
ME51 8114 5863 1218 3435 75,Puce,classic,classic,bra,Puce,55,93.56,7002,20-Apr-17,31-Dec-99,TRUE
AZ64 VVVM VO2O UVJ4 4AD8 PPVP VYZD,Yellow,classic,classic,bra,Yellow,20,35.25,9843,9-Jul-12,31-Dec-99,TRUE
FR80 4130 7839 18G6 WDLN JK46 T30,Fuscia,cotton,classic,bra,Fuscia,30,18.72,8776,25-Aug-16,31-Dec-99,TRUE
SM50 O416 9323 905I 8R2H ONCA HEF,Indigo,basic,classic,bra,Indigo,40,85.81,2354,9-Nov-16,31-Dec-99,TRUE
AE57 7657 4382 7170 5588 489,Khaki,accent,classic,bra,Khaki,39,68.37,1940,1-Apr-13,31-Dec-99,TRUE
KZ91 559F SM9M ASHX COJ2,Indigo,basic,classic,bra,Indigo,10,68.78,7240,26-Dec-16,31-Dec-99,TRUE
TN11 3174 1030 0532 5388 3499,Goldenrod,cotton,classic,bra,Goldenrod,1,69.64,9141,4-Oct-14,31-Dec-99,TRUE
PL51 4377 0906 7402 0730 6954 4645,Maroon,body art,classic,bra,Maroon,3,56.38,1652,13-Feb-16,31-Dec-99,TRUE
GT70 N9GY HZ2H 6U1F CLB1 SOTB VRUH,Red,cotton,classic,bra,Red,27,3.35,6031,5-Mar-15,31-Dec-99,TRUE
PK26 FAAS PG1W MUKP MBDF TTAR,Purple,classic,classic,bra,Purple,79,85.14,7367,10-Sep-15,31-Dec-99,TRUE
AZ23 NHIL R5OA ZO7D PK0Y VZMO YEVV,Maroon,cotton,classic,bra,Maroon,51,13.01,5096,28-Sep-17,31-Dec-99,TRUE
IE29 MPWK 1186 2852 0721 78,Maroon,body art,classic,bra,Maroon,39,85.11,2231,27-Oct-17,31-Dec-99,TRUE
ES04 2825 5340 7176 4251 9455,Turquoise,basic,classic,bra,Turquoise,59,37.74,6215,27-Aug-15,31-Dec-99,TRUE
MT52 MWBO 0401 506D MKCM RDQK XHCP V9R,Green,cotton,classic,bra,Green,35,54.47,7112,14-Oct-13,31-Dec-99,TRUE
TR45 8559 6CCE NJJT JTST W30I NY,Orange,accent,classic,bra,Orange,26,98.51,1447,25-May-16,31-Dec-99,TRUE
PK45 VNDM XDMU ULT2 IH5X SRIK,Green,body art,classic,bra,Green,37,4.97,4848,20-Sep-12,31-Dec-99,TRUE
PT15 7414 2895 7478 7398 8798 8,Orange,basic,classic,bra,Orange,31,11.11,5599,30-Jun-12,31-Dec-99,TRUE
SA73 27ZS PMNQ OGOY J55Z EON8,Crimson,cotton,classic,bra,Crimson,44,36.09,9209,26-Jul-14,31-Dec-99,TRUE
RS19 8725 6381 8597 8433 51,Violet,body art,classic,bra,Violet,65,40.06,4490,18-Feb-12,31-Dec-99,TRUE
LV62 XXCZ VBUK ISLW IZX0 R,Purple,classic,classic,bra,Purple,14,87.6,4669,22-Nov-15,31-Dec-99,TRUE
KW21 KTRW 3YSX VYVL FJ86 DK9A FQEU 8U,Green,classic,classic,bra,Green,19,1.04,1244,26-Jul-16,31-Dec-99,TRUE
ES57 5882 7558 6891 5219 6844,Turquoise,cotton,classic,bra,Turquoise,22,69.23,2160,27-Nov-15,31-Dec-99,TRUE
FI71 0804 8437 4696 11,Goldenrod,body art,classic,bra,Goldenrod,34,69.7,9205,5-Oct-16,31-Dec-99,TRUE
FR17 3131 7258 713B 9AS0 QIVQ Z01,Indigo,classic,classic,bra,Indigo,22,61.28,9656,18-May-12,31-Dec-99,TRUE
