IT04 G523 5339 426W KMR3 PL2S 5QH,Goldenrod,the charm of rococo,fashion,panty,Goldenrod,5,81.49,6207,13-Feb-16,31-Dec-99,TRUE
AE30 3125 9174 4084 0854 440,Green,the charm of rococo,fashion,panty,Green,2,92.83,5084,14-Mar-17,31-Dec-99,TRUE
FR35 1596 3612 81FC FTB6 8RZT O28,Violet,accent by milavitsa,fashion,panty,Violet,5,84.61,8796,30-Jan-17,31-Dec-99,TRUE
GE10 FU54 9640 8989 6798 33,Violet,boudoir romance,fashion,panty,Violet,9,43.35,8853,20-Jul-14,31-Dec-99,TRUE
LT70 4209 0032 9848 4941,Puce,bouquet of emotions,fashion,panty,Puce,9,9.04,3485,27-Jun-14,31-Dec-99,TRUE
SK13 9011 8742 9982 8797 0522,Pink,openwork history,fashion,panty,Pink,9,33.66,2629,31-Jul-17,31-Dec-99,TRUE
FR56 1506 2247 92ZY XBV6 NI5U D06,Khaki,comfort formula,fashion,panty,Khaki,8,40.91,6119,20-Jul-17,31-Dec-99,TRUE
MU92 IOKI 5892 8631 6370 5313 919F UK,Puce,after midnight,fashion,panty,Puce,1,34.42,4762,11-May-12,31-Dec-99,TRUE
PT72 2887 5716 4146 4668 7514 1,Crimson,bouquet of emotions,fashion,panty,Crimson,6,45.31,8840,9-Sep-17,31-Dec-99,TRUE
DE19 7663 6256 4261 6387 31,Puce,after midnight,fashion,panty,Puce,2,81.46,7501,1-Jan-17,31-Dec-99,TRUE
SA82 21GG L2AP XT0R KRH7 ZUZ9,Goldenrod,refined retro,fashion,panty,Goldenrod,2,82.95,1738,10-Sep-13,31-Dec-99,TRUE
VG08 LGZC 7967 8189 8394 3591,Violet,openwork history,fashion,panty,Violet,7,17.56,3883,27-Sep-17,31-Dec-99,TRUE
SM53 W496 6899 168K KT0B B9Z3 YSV,Indigo,exquisite ease,fashion,panty,Indigo,4,38.66,9776,28-Nov-14,31-Dec-99,TRUE
FR20 5394 1630 39BA 8SDL IG59 P97,Yellow,comfort formula,fashion,panty,Yellow,1,58.86,8353,4-Nov-15,31-Dec-99,TRUE
BH05 GEMB XVKF CJ2S DGMV HY,Teal,refined retro,fashion,panty,Teal,9,36.44,1094,7-Jul-16,31-Dec-99,TRUE
SK77 2694 7052 4551 7879 5107,Puce,after midnight,fashion,panty,Puce,9,6.41,2489,19-May-13,31-Dec-99,TRUE
BR38 6285 9172 2791 2125 7384 445L E,Purple,accent by milavitsa,fashion,panty,Purple,4,39.87,6187,18-Jan-13,31-Dec-99,TRUE
